career_name,career_occ_code,career_2012_emp,career_2022_emp,career_num_emp_change,career_percent_emp_change,career_percent_self_emp,career_job_openings,career_med_ann_wage,career_edu,career_work_exp,career_job_training
Radio and television announcers,27-3011,41.3,41.2,0,-0.1,24.4,8.6,28020,Bachelor's degree,None,None
"Ushers, lobby attendants, and ticket takers",39-3031,108.8,110.6,1.9,1.7,0.7,59.3,18730,Less than high school,None,Short-term on-the-job training
Occupational health and safety specialists,29-9011,62.9,67.1,4.2,6.6,1.9,21.3,66790,Bachelor's degree,None,Short-term on-the-job training
Railroad conductors and yardmasters,53-4031,43.8,42.5,-1.3,-2.9,,13.3,54700,High school diploma or equivalent,None,Moderate-term on-the-job training
Graduate teaching assistants,25-1191,150.3,165.8,15.5,10.3,0.1,38,31270,Bachelor's degree,None,None
Retail salespersons,41-2031,4447,4881.7,434.7,9.8,3.2,1955.7,21110,Less than high school,None,Short-term on-the-job training
Other management occupations,11-9000,4215,4371,156.1,3.7,43.1,1207,81940,,,
Materials scientists,19-2032,8.3,8.8,0.4,5.2,0.8,2.6,88990,Bachelor's degree,None,None
"Special education teachers, kindergarten and elementary school",25-2052,194.6,206.6,12,6.2,0.3,45.2,53820,Bachelor's degree,None,Internship/residency
"Cutting and slicing machine setters, operators, and tenders",51-9032,58.3,53.4,-4.9,-8.4,3,9.8,31430,High school diploma or equivalent,None,Short-term on-the-job training
Adhesive bonding machine operators and tenders,51-9191,16.8,16.9,0.1,0.6,,4.1,29830,High school diploma or equivalent,None,Moderate-term on-the-job training
Construction trades workers,47-2000,4653.4,5666.5,1013.1,21.8,20.3,1810.4,38970,,,
"Designers, all other",27-1029,10.2,11,0.8,8,24.8,3.5,45330,Bachelor's degree,None,None
Physical scientists,19-2000,297.4,328.1,30.7,10.3,3.1,110.6,74850,,,
Legal occupations,23-0000,1247,1379.9,132.9,10.7,15.8,333.8,75270,,,
Timing device assemblers and adjusters,51-2093,1.2,1.1,0,-2.6,,0.2,25600,High school diploma or equivalent,None,Moderate-term on-the-job training
Transit and railroad police,33-3052,4.3,4.4,0.1,3.4,,1.4,55210,High school diploma or equivalent,None,Short-term on-the-job training
"Nursing instructors and teachers, postsecondary",25-1072,67.8,91.8,24,35.4,0.1,34.2,64850,Master's degree,Less than 5 years,None
Nuclear engineers,17-2161,20.4,22.3,1.9,9.3,,7.1,104270,Bachelor's degree,None,None
Operations research analysts,15-2031,73.2,92.7,19.5,26.7,0.9,36,72100,Bachelor's degree,None,None
Office and administrative support occupations,43-0000,22470.1,24004.1,1534,6.8,1.1,6765.1,31510,,,
Electro-mechanical technicians,17-3024,17.3,18,0.7,3.9,,4.3,51820,Associate's degree,None,None
"Laborers and material movers, hand",53-7060,3295.6,3615.6,320,9.7,1.4,1287.1,22770,,,
Anesthesiologists,29-1061,33.9,42.1,8.3,24.4,10.4,16.7,187200,Doctoral or professional degree,None,Internship/residency
Reporters and correspondents,27-3022,51.7,44.6,-7.1,-13.8,13.1,17.6,35870,Bachelor's degree,None,None
"Sociology teachers, postsecondary",25-1067,20.6,23.3,2.6,12.7,,5.7,66150,Doctoral or professional degree,None,None
"Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,23.1,20.2,-2.9,-12.6,,4.5,35820,High school diploma or equivalent,None,Moderate-term on-the-job training
Aircraft mechanics and service technicians,49-3011,121.7,124.7,3,2.4,0.6,35.6,55210,Postsecondary non-degree award,None,None
Chiropractors,29-1011,44.4,50.9,6.5,14.6,37.1,15.2,66160,Doctoral or professional degree,None,None
Fire inspectors,33-2020,14.1,14.9,0.8,5.7,,5,51880,,,
Counselors,21-1010,665.5,802.3,136.8,20.6,5.7,278.3,44040,,,
"Cooks, restaurant",35-2014,1024.1,1174.2,150.1,14.7,1.2,352.1,22030,Less than high school,Less than 5 years,Moderate-term on-the-job training
Registered nurses,29-1141,2711.5,3238.4,526.8,19.4,0.7,1052.6,65470,Associate's degree,None,None
Miscellaneous healthcare support occupations,31-9090,1325.9,1636,310.2,23.4,0.8,568.2,30430,,,
Financial clerks,43-3000,3567.2,3958.6,391.4,11,3,1097.9,32680,,,
Urban and regional planners,19-3051,38.7,42.7,4,10.3,,21.4,65230,Master's degree,None,None
Chemical technicians,19-4031,63.6,69.5,6,9.4,1.5,21.6,42920,Associate's degree,None,Moderate-term on-the-job training
Religious workers,21-2000,433.8,474.1,40.3,9.3,0.7,148.7,40360,,,
Tool and die makers,51-4111,78.6,77.5,-1.1,-1.4,1.8,4.7,47000,High school diploma or equivalent,None,Long-term on-the-job training
Ship engineers,53-5031,10.8,11.7,0.8,7.8,,5.7,70890,Bachelor's degree,None,None
"Miscellaneous textile, apparel, and furnishings workers",51-6090,81.8,76.9,-4.9,-5.9,19,16.2,30220,,,
"Paper goods machine setters, operators, and tenders",51-9196,95,87.5,-7.6,-8,,8.5,34690,High school diploma or equivalent,None,Moderate-term on-the-job training
"Medical, dental, and ophthalmic laboratory technicians",51-9080,82.9,88.5,5.6,6.7,4.4,33.6,33070,,,
Medical and clinical laboratory technicians,29-2012,161.5,209.4,47.9,29.7,0.3,90.2,37240,Associate's degree,None,None
Building and grounds cleaning and maintenance occupations,37-0000,5522.3,6213.3,691,12.5,13,1825.5,22690,,,
"Welding, soldering, and brazing workers",51-4120,411,442.3,31.4,7.6,5.8,132.2,36090,,,
"Locker room, coatroom, and dressing room attendants",39-3093,19.6,21.6,2,10.4,0.8,11.9,19160,High school diploma or equivalent,None,Short-term on-the-job training
"Judges, magistrate judges, and magistrates",23-1023,28.3,29,0.7,2.3,,5.2,115760,Doctoral or professional degree,5 years or more,Short-term on-the-job training
Conservation scientists and foresters,19-1030,34.2,35,0.9,2.5,1.8,10.8,59060,,,
Customer service representatives,43-4051,2362.8,2661.4,298.7,12.6,0.5,941.6,30580,High school diploma or equivalent,None,Short-term on-the-job training
"Child, family, and school social workers",21-1021,285.7,328.8,43.1,15.1,0.7,103.6,41530,Bachelor's degree,None,None
"Engineers, all other",17-2199,133,138.1,5.1,3.8,5,29.5,92030,Bachelor's degree,None,None
Cooks,35-2010,2148.5,2353.7,205.3,9.6,1.1,631.6,20550,,,
Demonstrators and product promoters,41-9011,78.1,90.7,12.6,16.1,5.6,34.6,23860,High school diploma or equivalent,None,Short-term on-the-job training
"Tool grinders, filers, and sharpeners",51-4194,12.6,12.6,0.1,0.4,4.1,2.5,34300,High school diploma or equivalent,None,Moderate-term on-the-job training
Curators,25-4012,11.4,12.9,1.4,12.5,3.7,3.9,49590,Master's degree,None,None
Pharmacists,29-1051,286.4,327.8,41.4,14.5,0.9,109.8,116670,Doctoral or professional degree,None,None
Industrial machinery mechanics,49-9041,319.3,379.6,60.3,18.9,3.3,152.5,46920,High school diploma or equivalent,None,Long-term on-the-job training
"Airline pilots, copilots, and flight engineers",53-2011,66.4,62.1,-4.4,-6.6,,19.2,114200,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
Tile and marble setters,47-2044,39.2,45.1,5.9,15,30.7,12.9,37040,Less than high school,None,Long-term on-the-job training
Loan officers,13-2072,296.9,319.8,22.9,7.7,2.3,77.2,59820,Bachelor's degree,None,Moderate-term on-the-job training
Correspondence clerks,43-4021,11.1,11.5,0.5,4.2,,3.3,36140,High school diploma or equivalent,None,Short-term on-the-job training
Agricultural equipment operators,45-2091,59,61.2,2.3,3.9,0.7,20.2,25860,Less than high school,None,Short-term on-the-job training
Recreational therapists,29-1125,19.8,22.5,2.7,13.4,,6.7,42280,Bachelor's degree,None,None
Supervisors of construction and extraction workers,47-1000,545.5,673.8,128.3,23.5,15.5,187.1,59700,,,
Home appliance repairers,49-9031,43.7,44,0.3,0.7,21.8,13.9,35170,High school diploma or equivalent,None,Moderate-term on-the-job training
Set and exhibit designers,27-1027,11.4,12.1,0.7,6.3,23.4,3.7,50300,Bachelor's degree,None,None
"Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081,85.9,74.5,-11.4,-13.2,,16.6,33960,High school diploma or equivalent,None,Moderate-term on-the-job training
"Biological scientists, all other",19-1029,34.3,34.1,-0.2,-0.6,1.3,9.8,72700,Bachelor's degree,None,None
Special education teachers,25-2050,483.5,514,30.5,6.3,0.4,113,54880,,,
Landscape architects,17-1012,20.1,22.9,2.9,14.3,20.9,7.6,64180,Bachelor's degree,None,Internship/residency
Commercial and industrial designers,27-1021,39.2,40.9,1.7,4.4,25.3,12.1,59610,Bachelor's degree,None,None
Radiation therapists,29-1124,19.1,23.6,4.5,23.5,2.4,8.4,77560,Associate's degree,None,None
"Cement masons, concrete finishers, and terrazzo workers",47-2050,144.3,186.1,41.7,28.9,4.5,58.3,35830,,,
"Installation, maintenance, and repair workers, all other",49-9099,159.6,173.6,14,8.8,17.1,40.8,36620,High school diploma or equivalent,None,Moderate-term on-the-job training
"Food servers, nonrestaurant",35-3041,241.3,289.9,48.6,20.1,0.2,119.1,19640,Less than high school,None,Short-term on-the-job training
"Architects, except naval",17-1010,127.5,149,21.4,16.8,21.7,51.7,71700,,,
Information security analysts,15-1122,75.1,102.5,27.4,36.5,0.7,39.2,86170,Bachelor's degree,Less than 5 years,None
Taxi drivers and chauffeurs,53-3041,233,269.1,36.2,15.5,26.1,63.7,22820,Less than high school,None,Short-term on-the-job training
"Electronics engineers, except computer",17-2072,140,144.8,4.8,3.4,1.9,35.3,91820,Bachelor's degree,None,None
Financial examiners,13-2061,29.2,31.1,1.8,6.3,,9.2,75800,Bachelor's degree,None,Moderate-term on-the-job training
Gas plant operators,51-8092,12.5,11.4,-1.1,-8.8,,4.7,61140,High school diploma or equivalent,None,Long-term on-the-job training
"Welders, cutters, solderers, and brazers",51-4121,357.4,378.2,20.8,5.8,5.8,108.5,36300,High school diploma or equivalent,None,Moderate-term on-the-job training
Gaming surveillance officers and gaming investigators,33-9031,9.3,10,0.6,7,,2.1,29610,High school diploma or equivalent,None,Short-term on-the-job training
Glaziers,47-2121,46.7,54.7,8,17.2,7.9,19.1,37610,High school diploma or equivalent,None,Apprenticeship
Construction and extraction occupations,47-0000,6092.2,7394.1,1301.9,21.4,17.3,2353,40120,,,
Stonemasons,47-2022,14.1,18.2,4.1,29.2,19.9,5.6,37350,High school diploma or equivalent,None,Apprenticeship
Other transportation workers,53-6000,334.6,371.8,37.2,11.1,0.6,161.4,21600,,,
Miscellaneous social scientists and related workers,19-3090,54.1,58.3,4.2,7.7,7.1,13.2,74740,,,
Therapists,29-1120,644.5,816.4,171.8,26.7,6.6,287.2,70000,,,
Supervisors of sales workers,41-1000,1997.7,2065.4,67.7,3.4,26.9,470.1,39350,,,
Line installers and repairers,49-9050,249.4,267.7,18.3,7.3,0.4,91.1,58210,,,
"Sales representatives, services",41-3000,1727.7,1913.8,186,10.8,8.5,633.4,51080,,,
Physician assistants,29-1071,86.7,120,33.3,38.4,1.8,48.9,90930,Master's degree,None,None
Tree trimmers and pruners,37-3013,53.2,63,9.8,18.5,24.1,23.2,32310,High school diploma or equivalent,None,Short-term on-the-job training
Food preparation workers,35-2021,807.8,836.7,28.9,3.6,0.8,260.5,19300,Less than high school,None,Short-term on-the-job training
Dental laboratory technicians,51-9081,39,40,1,2.6,4.3,14.2,36090,High school diploma or equivalent,None,Moderate-term on-the-job training
Small engine mechanics,49-3050,68.2,72,3.8,5.6,11.2,18.2,32640,,,
"Directors, religious activities and education",21-2021,134.2,145.5,11.3,8.4,0.8,57,37280,Bachelor's degree,Less than 5 years,None
Occupational therapists,29-1122,113.2,146.1,32.8,29,4.6,48.2,75400,Master's degree,None,None
Substance abuse and behavioral disorder counselors,21-1011,89.6,117.7,28.2,31.4,7.9,47.2,38520,High school diploma or equivalent,None,Moderate-term on-the-job training
Precision instrument and equipment repairers,49-9060,70.5,84.6,14.1,20,14.7,33.7,43790,,,
First-line supervisors of production and operating workers,51-1011,594.7,584.2,-10.5,-1.8,3.7,83.7,54040,Postsecondary non-degree award,Less than 5 years,None
"Tax examiners and collectors, and revenue agents",13-2081,69.5,66.8,-2.7,-3.9,,23.9,50440,Bachelor's degree,None,Moderate-term on-the-job training
Miscellaneous construction and related workers,47-4090,37.8,43.3,5.5,14.5,13.8,12.4,34930,,,
Logisticians,13-1081,125.9,153.6,27.6,21.9,2.3,42.2,72780,Bachelor's degree,None,None
Funeral service workers,39-4000,61,63.5,2.5,4.2,1.5,16.3,29620,,,
Health educators,21-1091,58.9,70.1,11.2,19,0.1,26.6,48790,Bachelor's degree,None,None
Telephone operators,43-2021,11.1,9.6,-1.4,-13.1,2.4,2.9,32850,High school diploma or equivalent,None,Short-term on-the-job training
Mining machine operators,47-5040,24.5,24.7,0.2,0.8,4.4,4.7,50230,,,
Health technologists and technicians,29-2000,2892.7,3590.2,697.5,24.1,0.8,1274.6,40380,,,
Computer occupations,15-1100,3682.3,4333.6,651.3,17.7,3,1240.1,76270,,,
Childcare workers,39-9011,1312.7,1496.8,184.1,14,28.5,570,19510,High school diploma or equivalent,None,Short-term on-the-job training
Aerospace engineering and operations technicians,17-3021,9.9,9.9,0,-0.4,,2.1,61530,Associate's degree,None,None
Healthcare practitioners and technical occupations,29-0000,8049.7,9782.6,1732.9,21.5,3.1,3378.3,60200,,,
Occupational therapy and physical therapist assistants and aides,31-2000,160,225.3,65.3,40.8,0.5,101.9,42120,,,
"Library assistants, clerical",43-4121,110.4,126.6,16.3,14.7,0.2,64.4,23440,High school diploma or equivalent,None,Short-term on-the-job training
Correctional officers and jailers,33-3012,452.8,474.9,22.1,4.9,,142.4,39040,High school diploma or equivalent,None,Moderate-term on-the-job training
Miscellaneous sales and related workers,41-9090,228.4,232.5,4.2,1.8,40.4,54.3,25400,,,
"Communications teachers, postsecondary",25-1122,36.5,41.2,4.7,12.7,,10.1,62180,Doctoral or professional degree,None,None
"Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,20.5,19.6,-0.9,-4.3,1,4.8,35530,High school diploma or equivalent,None,Moderate-term on-the-job training
Cleaners of vehicles and equipment,53-7061,325.2,361.2,35.9,11.1,5.1,126.3,19850,Less than high school,None,Short-term on-the-job training
Family and general practitioners,29-1062,124,142.1,18.1,14.6,9.9,49.2,172020,Doctoral or professional degree,None,Internship/residency
"Models, demonstrators, and product promoters",41-9010,82.9,96.2,13.3,16.1,5.6,36.7,23700,,,
Locomotive engineers and operators,53-4010,44.9,42.9,-2,-4.5,,13.6,50860,,,
Commercial divers,49-9092,3.6,4.7,1.1,29.4,1.8,1.9,46880,Postsecondary non-degree award,None,Moderate-term on-the-job training
"Media and communication equipment workers, all other",27-4099,14.8,14.6,-0.2,-1.5,,1.9,68810,High school diploma or equivalent,None,Short-term on-the-job training
Miscellaneous assemblers and fabricators,51-2090,1328.9,1403.6,74.7,5.6,1.6,285.6,27330,,,
"Health and safety engineers, except mining safety engineers and inspectors",17-2111,24.1,26.7,2.6,11,0.6,9.7,76830,Bachelor's degree,None,None
Receptionists and information clerks,43-4171,1006.7,1142.6,135.9,13.5,0.6,406.9,25990,High school diploma or equivalent,None,Short-term on-the-job training
"Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,20,20.2,0.2,0.9,,5.4,28430,Less than high school,None,Moderate-term on-the-job training
Automotive technicians and repairers,49-3020,873.3,956.6,83.2,9.5,13.3,294.6,36850,,,
Budget analysts,13-2031,61.7,65.5,3.8,6.1,,28.5,69280,Bachelor's degree,None,None
"Textile machine setters, operators, and tenders",51-6060,76.3,58.3,-17.9,-23.5,1.1,12.3,25520,,,
Computer user support specialists,15-1151,547.7,658.5,110.8,20.2,0.8,196.9,46420,"Some college, no degree",None,Moderate-term on-the-job training
Postal service workers,43-5050,491.6,352.6,-139.1,-28.3,,122.3,53100,,,
"Model makers and patternmakers, wood",51-7030,2,2.1,0.1,3.5,,0.4,32890,,,
Computer systems analysts,15-1121,520.6,648.4,127.7,24.5,4,209.6,79680,Bachelor's degree,None,None
Veterinarians,29-1131,70.3,78.7,8.4,12,18.3,31,84460,Doctoral or professional degree,None,None
Survey researchers,19-3022,18,21.2,3.2,17.6,,5.6,45050,Master's degree,None,None
Personal appearance workers,39-5000,816.1,930.5,114.3,14,41,283.9,22190,,,
"Police, fire, and ambulance dispatchers",43-5031,98.5,106.2,7.6,7.7,,36,36300,High school diploma or equivalent,None,Moderate-term on-the-job training
Food processing workers,51-3000,746.7,769.8,23.1,3.1,2.4,221.1,24380,,,
Computer control programmers and operators,51-4010,164.6,191.7,27.1,16.5,,73.1,36760,,,
Transportation security screeners,33-9093,50.8,53.8,3,5.9,,14.7,36850,High school diploma or equivalent,None,Short-term on-the-job training
"Librarians, curators, and archivists",25-4000,283.9,307.1,23.3,8.2,0.3,120.5,44320,,,
Computer network support specialists,15-1152,174.6,186.8,12.1,6.9,0.8,39.6,59090,Associate's degree,None,None
Lawyers,23-1011,759.8,834.7,74.8,9.8,21.8,196.5,113530,Doctoral or professional degree,None,None
Fiberglass laminators and fabricators,51-2091,18.2,17.4,-0.7,-4.1,1.6,2.9,28830,High school diploma or equivalent,None,Moderate-term on-the-job training
"Sales and related workers, all other",41-9099,135.7,154.1,18.4,13.5,5.2,45,25800,High school diploma or equivalent,None,None
"Entertainers and performers, sports and related workers, all other",27-2099,36.6,39.2,2.7,7.3,54,7.2,,High school diploma or equivalent,None,None
Tour guides and escorts,39-7011,41.4,44.8,3.4,8.3,17.5,23.4,23940,High school diploma or equivalent,None,Moderate-term on-the-job training
Other office and administrative support workers,43-9000,4121.5,4231.9,110.3,2.7,1,1077,28590,,,
"Electronic equipment installers and repairers, motor vehicles",49-2096,14.6,13.7,-0.9,-5.9,13.6,1.3,31340,Postsecondary non-degree award,None,Short-term on-the-job training
"Drywall installers, ceiling tile installers, and tapers",47-2080,114.1,132,17.9,15.7,18.7,28.7,37920,,,
"Social scientists and related workers, all other",19-3099,34.8,35.5,0.7,1.9,6.1,6.4,76540,Bachelor's degree,None,None
"Molders and molding machine setters, operators, and tenders, metal and plastic",51-4070,137.5,116.3,-21.2,-15.4,,16.6,28800,,,
Broadcast news analysts,27-3021,5.9,5.8,-0.1,-2.3,12.9,2,55380,Bachelor's degree,None,None
Administrative services managers,11-3011,280.8,315,34.2,12.2,0.1,79.9,81080,Bachelor's degree,Less than 5 years,None
Lawyers and judicial law clerks,23-1010,772,847.3,75.4,9.8,21.5,199,112120,,,
"Gaming service workers, all other",39-3019,13.2,14.4,1.2,9.4,1.2,3.5,23490,High school diploma or equivalent,None,Short-term on-the-job training
Drafters,17-3010,199.8,202,2.2,1.1,3.1,32.1,49630,,,
Sales and related occupations,41-0000,15105,16200.5,1095.5,7.3,8.2,5626.9,25120,,,
Anthropologists and archeologists,19-3091,7.2,8.6,1.4,19.4,12.3,2.6,57420,Master's degree,None,None
Petroleum engineers,17-2171,38.5,48.4,9.8,25.5,3.2,19.6,130280,Bachelor's degree,None,None
Credit counselors and loan officers,13-2070,327.8,357,29.2,8.9,2.3,89.2,57500,,,
Clinical laboratory technologists and technicians,29-2010,325.8,396.5,70.6,21.7,0.3,156,47820,,,
"Property, real estate, and community association managers",11-9141,297,332,35,11.8,44.7,102.1,52610,High school diploma or equivalent,Less than 5 years,None
Manicurists and pedicurists,39-5092,86.9,100.4,13.5,15.6,26.8,20.7,19220,Postsecondary non-degree award,None,None
Logging workers,45-4020,43.9,40.1,-3.8,-8.7,19.8,7.3,33630,,,
Music directors and composers,27-2041,77.6,81.1,3.5,4.5,22.6,24.4,47350,Bachelor's degree,Less than 5 years,None
Dietitians and nutritionists,29-1031,67.4,81.6,14.2,21.1,11.1,22.3,55240,Bachelor's degree,None,Internship/residency
"Education administrators, postsecondary",11-9033,161.8,185.3,23.5,14.5,4.6,66.5,86490,Master's degree,5 years or more,None
"Mathematical science teachers, postsecondary",25-1022,63.3,70.6,7.3,11.5,,16.8,64990,Doctoral or professional degree,None,None
"Rail transportation workers, all other",53-4099,3.1,3.2,0.1,2.2,,1,55080,High school diploma or equivalent,None,Moderate-term on-the-job training
Operating engineers and other construction equipment operators,47-2073,351.2,417.6,66.4,18.9,3.6,144.4,41870,High school diploma or equivalent,None,Moderate-term on-the-job training
Credit analysts,13-2041,61.8,68.2,6.4,10.4,,21.8,61080,Bachelor's degree,None,None
Chemical engineers,17-2041,33.3,34.8,1.5,4.5,,9.2,94350,Bachelor's degree,None,None
Waiters and waitresses,35-3031,2362.2,2494,131.8,5.6,0.2,1268.3,18540,Less than high school,None,Short-term on-the-job training
"Tailors, dressmakers, and custom sewers",51-6052,49.9,49,-0.9,-1.8,48.7,5.3,26280,Less than high school,None,Moderate-term on-the-job training
Preschool and kindergarten teachers,25-2010,596.7,693.7,96.9,16.2,1.5,264.5,33040,,,
Skincare specialists,39-5094,44.4,62,17.7,39.8,26.7,21.3,28640,Postsecondary non-degree award,None,None
Web developers,15-1134,141.4,169.9,28.5,20.1,22.5,50.7,62500,Associate's degree,None,None
Miscellaneous mathematical science occupations,15-2090,3.9,4.4,0.5,12.9,33.4,1.5,56410,,,
Respiratory therapists,29-1126,119.3,142.1,22.7,19.1,0.1,40.1,55870,Associate's degree,None,None
Art directors,27-1011,74.8,77,2.2,3,57.2,20,80880,Bachelor's degree,5 years or more,None
"Financial specialists, all other",13-2099,155.8,165.2,9.4,6.1,1,25.8,61160,Bachelor's degree,None,Moderate-term on-the-job training
Miscellaneous health practitioners and technical workers,29-9090,76.6,91.2,14.5,19,2.2,35.4,44490,,,
"Switchboard operators, including answering service",43-2011,131,113.7,-17.3,-13.2,0.9,24.1,25370,High school diploma or equivalent,None,Short-term on-the-job training
Millwrights,49-9044,39.4,46.7,7.2,18.4,,13.4,49510,High school diploma or equivalent,None,Apprenticeship
Animal scientists,19-1011,2.7,3,0.2,8.8,11,1.2,61680,Doctoral or professional degree,None,None
"Drafters, all other",17-3019,15.6,17.6,2,12.7,3.1,4.1,46110,Associate's degree,None,None
Supervisors of office and administrative support workers,43-1000,1418.1,1589.6,171.5,12.1,0.5,508,49330,,,
Multimedia artists and animators,27-1014,68.9,73.2,4.3,6.3,56.9,20.6,61370,Bachelor's degree,None,Moderate-term on-the-job training
Textile bleaching and dyeing machine operators and tenders,51-6061,11.4,8.6,-2.7,-24,,1.8,24210,High school diploma or equivalent,None,Short-term on-the-job training
"Derrick operators, oil and gas",47-5011,22.8,27.1,4.3,18.8,0.8,13.5,46900,Less than high school,None,Short-term on-the-job training
Nuclear technicians,19-4051,8.1,9.3,1.2,14.9,,4.1,69060,Associate's degree,None,Moderate-term on-the-job training
"Education administrators, all other",11-9039,34.2,37.3,3.1,9,5.5,12.2,76860,Bachelor's degree,Less than 5 years,None
Public relations specialists,27-3031,229.1,256.5,27.4,12,4.2,58.8,54170,Bachelor's degree,None,None
Real estate sales agents,41-9022,342.4,380.3,38,11.1,51.5,70.2,39140,High school diploma or equivalent,None,Long-term on-the-job training
"Metal workers and plastic workers, all other",51-4199,26.3,27.1,0.8,2.9,20.5,3.6,31060,High school diploma or equivalent,None,Moderate-term on-the-job training
Paperhangers,47-2142,3.5,3.4,0,-0.5,,0.6,34600,High school diploma or equivalent,None,Moderate-term on-the-job training
Watch repairers,49-9064,3.2,3.2,0.1,1.9,15.9,0.9,37650,High school diploma or equivalent,None,Long-term on-the-job training
Dental hygienists,29-2021,192.8,256.9,64.2,33.3,0.6,113.5,70210,Associate's degree,None,None
Announcers,27-3010,52,52.7,0.8,1.5,24.5,11.6,27750,,,
Labor relations specialists,13-1075,77.6,76.9,-0.6,-0.8,2.1,14.2,54660,Bachelor's degree,None,None
Mathematical technicians,15-2091,1.9,2.1,0.2,12.6,33.5,0.7,56820,Bachelor's degree,None,None
Data entry keyers,43-9021,220.3,166.1,-54.2,-24.6,1.6,26.3,28010,High school diploma or equivalent,None,Moderate-term on-the-job training
Geographers,19-3092,1.7,2.2,0.5,29,7.5,0.8,74760,Bachelor's degree,None,None
Cooks and food preparation workers,35-2000,2956.3,3190.4,234.2,7.9,1,892,20090,,,
Procurement clerks,43-3061,72.2,73.6,1.4,2,,27.6,38220,High school diploma or equivalent,None,Moderate-term on-the-job training
Licensed practical and licensed vocational nurses,29-2061,738.4,921.3,182.9,24.8,0.7,363.1,41540,Postsecondary non-degree award,None,None
"Supervisors of installation, maintenance, and repair workers",49-1000,436.4,470.3,33.9,7.8,0.9,152,60250,,,
"Roof bolters, mining",47-5061,6.7,6.4,-0.3,-4.2,,1.8,54320,High school diploma or equivalent,None,Moderate-term on-the-job training
"Textile, apparel, and furnishings workers, all other",51-6099,16.4,15,-1.3,-8.2,13.7,1,25930,High school diploma or equivalent,None,Short-term on-the-job training
"Farmworkers and laborers, crop, nursery, and greenhouse",45-2092,596.8,567.6,-29.2,-4.9,0.8,181.1,18670,Less than high school,None,Short-term on-the-job training
Recreation and fitness workers,39-9030,612.4,694.9,82.5,13.5,7.3,154.7,24360,,,
Rail transportation workers,53-4000,126,122.7,-3.3,-2.6,,38.8,52910,,,
Ship and boat captains and operators,53-5020,38.8,43.9,5.1,13.1,10.7,23.1,62640,,,
"Tailors, dressmakers, and sewers",51-6050,61,59.1,-1.9,-3.1,48.6,6.5,25390,,,
"Personal care and service workers, all other",39-9099,97.1,108,10.8,11.1,22.5,37.9,20600,High school diploma or equivalent,None,Short-term on-the-job training
"Cooks, all other",35-2019,25.5,28.7,3.2,12.7,1,8.3,23250,Less than high school,None,Moderate-term on-the-job training
"Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,41.5,44,2.4,5.8,,9.1,45950,High school diploma or equivalent,None,Moderate-term on-the-job training
"Dentists, all other specialists",29-1029,6.4,6.8,0.4,6.3,16.1,2,154990,Doctoral or professional degree,None,Internship/residency
"Anthropology and archeology teachers, postsecondary",25-1061,7,7.9,0.9,12.5,,1.9,76020,Doctoral or professional degree,None,None
Personal financial advisors,13-2052,223.4,283.7,60.3,27,20.2,96.4,67520,Bachelor's degree,None,None
Loan interviewers and clerks,43-4131,195.9,213,17.1,8.7,0.7,30.1,35310,High school diploma or equivalent,None,Short-term on-the-job training
Animal control workers,33-9011,14.6,15.7,1.1,7.7,,4.5,31680,High school diploma or equivalent,None,Moderate-term on-the-job training
"Environmental science teachers, postsecondary",25-1053,6.3,7.1,0.8,13.2,,1.8,77320,Doctoral or professional degree,None,None
Occupational therapy assistants,31-2011,30.3,43.2,12.9,42.6,0.8,20.5,53240,Associate's degree,None,None
Legal secretaries,43-6012,223.1,216.1,-7,-3.1,1.1,26.8,42170,High school diploma or equivalent,None,Moderate-term on-the-job training
Dancers,27-2031,15.6,16.5,0.9,5.9,28.9,5.4,,High school diploma or equivalent,None,Long-term on-the-job training
"Maintenance and repair workers, general",49-9071,1325.1,1450.3,125.2,9.4,0.8,379.7,35210,High school diploma or equivalent,None,Long-term on-the-job training
"Psychologists, all other",19-3039,13.4,14.9,1.4,10.7,18.1,5.1,90020,Master's degree,None,Internship/residency
Physical therapist assistants,31-2021,71.4,100.7,29.3,41,0.5,45.1,52160,Associate's degree,None,None
"Textile knitting and weaving machine setters, operators, and tenders",51-6063,21.9,16.5,-5.4,-24.5,3.7,3.5,26540,High school diploma or equivalent,None,Moderate-term on-the-job training
"Pediatricians, general",29-1065,34.7,40.1,5.4,15.7,10.2,14.1,154650,Doctoral or professional degree,None,Internship/residency
"Business operations specialists, all other",13-1199,991.8,1065.2,73.4,7.4,0.5,209.4,65120,High school diploma or equivalent,None,None
"Baggage porters, bellhops, and concierges",39-6000,67.3,78.4,11.1,16.5,,27.8,22880,,,
Automotive glass installers and repairers,49-3022,18,20.5,2.4,13.6,17,6.9,32650,High school diploma or equivalent,None,Moderate-term on-the-job training
Medical and clinical laboratory technologists,29-2011,164.3,187.1,22.7,13.8,0.3,65.8,57580,Bachelor's degree,None,None
Epidemiologists,19-1041,5.1,5.7,0.5,10.2,,1.6,65270,Master's degree,None,None
